Date,Temperature,Wind Speed
2015-05-06,51.5,6.56
2015-05-07,52.7,7.25
2015-05-08,54.9,6.79
2015-05-09,55.7,5.18
2015-05-10,53.6,5.41
2015-05-11,53.5,8.98
2015-05-12,52.6,4.14
2015-05-13,52.3,6.33
2015-05-14,52.8,6.1
2015-05-15,53.7,7.36
2015-05-16,53.1,6.56
2015-05-17,54.0,4.14
2015-05-18,53.5,4.49
2015-05-19,54.5,6.1
2015-05-20,54.7,7.48
2015-05-21,54.6,7.25
2015-05-22,53.8,6.33
2015-05-23,54.6,6.33
2015-05-24,53.7,6.1
2015-05-25,54.2,6.21
2015-05-26,55.5,4.83
2015-05-27,56.3,5.18
2015-05-28,55.8,5.52
2015-05-29,54.9,5.75
2015-05-30,56.0,8.17
2015-05-31,58.0,7.13
2015-06-01,56.4,7.83
2015-06-02,55.2,1.15
2015-06-03,56.2,0.81
2015-06-04,54.7,5.52
2015-06-05,56.2,5.64
2015-06-06,57.3,4.6
2015-06-07,58.4,3.22
2015-06-08,58.2,3.68
2015-06-09,57.0,6.56
2015-06-10,55.0,7.02
2015-06-11,54.9,9.44
2015-06-12,55.3,11.05
2015-06-13,52.8,8.86
2015-06-14,53.5,5.87
2015-06-15,53.3,4.14
2015-06-16,56.5,8.29
2015-06-17,55.6,7.71
2015-06-18,58.2,5.41
2015-06-19,61.1,5.18
2015-06-20,56.8,5.06
2015-06-21,60.0,3.8
2015-06-22,60.4,4.26
2015-06-23,58.0,4.37
2015-06-24,61.1,2.88
2015-06-25,62.8,3.11
2015-06-26,62.5,4.72
2015-06-27,61.9,3.8
2015-06-28,61.0,3.34
2015-06-29,60.4,3.91
2015-06-30,62.6,3.8
2015-07-01,59.5,3.91
2015-07-02,68.3,6.1
2015-07-03,61.4,3.57
2015-07-04,61.3,5.18
2015-07-05,63.4,4.03
2015-07-06,60.8,3.91
2015-07-07,62.1,4.83
2015-07-08,63.4,3.22
2015-07-09,62.7,3.68
2015-07-10,61.8,4.37
2015-07-11,63.5,3.91
2015-07-12,63.7,1.96
2015-07-13,65.4,4.03
2015-07-14,61.6,7.25
2015-07-15,60.7,8.06
2015-07-16,63.9,11.62
2015-07-17,59.8,6.44
2015-07-18,68.0,5.41
2015-07-19,67.6,6.1
2015-07-20,64.2,3.45
2015-07-21,63.6,7.83
2015-07-22,61.0,6.9
2015-07-23,59.5,5.75
2015-07-24,60.5,4.95
2015-07-25,63.5,4.37
2015-07-26,61.0,3.11
2015-07-27,61.2,5.52
2015-07-28,61.1,6.67
2015-07-29,64.9,3.57
2015-07-30,66.8,3.11
2015-07-31,63.4,3.11
2015-08-01,60.6,3.22
2015-08-02,61.6,2.65
2015-08-03,62.4,3.45
2015-08-04,60.7,7.6
2015-08-05,60.6,8.4
2015-08-06,60.0,5.87
2015-08-07,60.6,4.83
2015-08-08,64.5,6.33
2015-08-09,61.8,3.91
2015-08-10,64.4,3.57
2015-08-11,65.1,3.8
2015-08-12,65.2,3.11
2015-08-13,66.6,2.99
2015-08-14,64.2,3.45
2015-08-15,62.9,3.34
2015-08-16,58.6,7.36
2015-08-17,59.5,5.98
2015-08-18,63.6,4.03
2015-08-19,64.6,2.76
2015-08-20,64.8,8.63
2015-08-21,60.2,5.98
2015-08-22,58.4,4.26
2015-08-23,59.5,2.88
2015-08-24,56.7,5.29
2015-08-25,56.4,4.26
2015-08-26,59.1,3.34
2015-08-27,63.6,2.99
2015-08-28,65.8,3.57
2015-08-29,66.6,11.16
2015-08-30,63.1,8.17
2015-08-31,63.2,5.98
2015-09-01,63.7,3.91
2015-09-02,60.6,2.42
2015-09-03,55.0,2.65
2015-09-04,53.4,3.68
2015-09-05,54.0,4.72
