Date,Temperature,Wind Speed
2012-02-10,60.8,17.26
2012-02-11,51.8,10.24
2012-02-12,48.2,9.21
2012-02-13,50.0,10.24
2012-02-14,48.2,18.3
2012-02-15,50.0,10.24
2012-02-16,50.0,8.06
2012-02-17,51.8,16.11
2012-02-18,50.0,23.02
2012-02-19,50.0,12.77
2012-02-20,50.0,11.39
2012-02-21,51.8,13.81
2012-02-22,51.8,23.02
2012-02-23,50.0,23.02
2012-02-24,50.0,14.96
2012-02-25,50.0,26.35
2012-02-26,46.4,17.26
2012-02-27,50.0,12.77
2012-02-28,50.0,12.77
2012-02-29,46.4,20.83
2012-03-01,50.0,11.39
2012-03-02,48.2,8.06
2012-03-03,53.6,9.21
2012-03-04,55.4,10.24
2012-03-05,53.6,19.45
2012-03-06,48.2,21.86
2012-03-07,51.8,18.3
2012-03-08,68.0,16.11
2012-03-09,57.2,18.3
2012-03-10,53.6,14.96
2012-03-11,50.0,16.11
2012-03-12,50.0,34.41
2012-03-13,42.8,14.96
2012-03-14,50.0,16.11
2012-03-15,55.4,39.13
2012-03-16,51.8,20.83
2012-03-17,48.2,13.81
2012-03-18,48.2,17.26
2012-03-19,46.4,13.81
2012-03-20,50.0,25.32
2012-03-21,44.6,12.77
2012-03-22,50.0,12.77
2012-03-23,57.2,12.77
2012-03-24,59.0,19.45
2012-03-25,51.8,10.24
2012-03-26,55.4,13.81
2012-03-27,57.2,20.83
2012-03-28,55.4,21.86
2012-03-29,55.4,32.22
2012-03-30,53.6,26.35
2012-03-31,55.4,23.02
2012-04-01,51.8,26.35
2012-04-02,64.4,23.02
2012-04-03,57.2,14.96
2012-04-04,50.0,16.11
2012-04-05,51.8,12.77
2012-04-06,50.0,10.24
2012-04-07,64.4,14.96
2012-04-08,69.8,9.21
2012-04-09,50.0,4.72
2012-04-10,59.0,12.77
2012-04-11,57.2,17.26
2012-04-12,57.2,18.3
2012-04-13,55.4,12.77
2012-04-14,57.2,9.21
2012-04-15,62.6,11.39
2012-04-16,55.4,18.3
2012-04-17,53.6,9.21
2012-04-18,55.4,12.77
2012-04-19,57.2,12.77
2012-04-20,55.4,14.96
2012-04-21,69.8,10.24
2012-04-22,68.0,16.11
2012-04-23,66.2,14.96
2012-04-24,62.6,13.81
2012-04-25,57.2,14.96
2012-04-26,57.2,18.3
2012-04-27,55.4,16.11
2012-04-28,60.8,12.77
2012-04-29,62.6,10.24
2012-04-30,55.4,16.11
2012-05-01,51.8,14.96
2012-05-02,53.6,10.24
2012-05-03,53.6,20.83
2012-05-04,53.6,13.81
2012-05-05,53.6,11.39
2012-05-06,62.6,18.3
2012-05-07,69.8,11.39
2012-05-08,57.2,6.9
2012-05-09,42.8,4.72
2012-05-10,46.4,8.06
2012-05-11,44.6,4.72
2012-05-12,71.6,4.72
2012-05-13,51.8,3.34
2012-05-14,53.6,5.87
2012-05-15,64.0,13.81
2012-05-16,60.8,19.45
2012-05-17,59.0,18.3
2012-05-18,59.0,18.3
2012-05-19,66.2,12.77
2012-05-20,60.8,6.9
2012-05-21,59.0,19.45
2012-05-22,57.2,27.5
2012-05-23,55.4,20.83
2012-05-24,57.2,17.26
2012-05-25,64.4,16.11
2012-05-26,60.8,11.39
2012-05-27,60.8,13.81
2012-05-28,60.8,14.96
2012-05-29,62.6,14.96
2012-05-30,66.2,12.77
2012-05-31,68.0,6.9
2012-06-01,68.0,12.77
2012-06-02,60.8,13.81
2012-06-03,62.6,12.77
2012-06-04,60.8,17.26
2012-06-05,59.0,23.02
2012-06-06,62.6,11.39
2012-06-07,60.8,17.26
2012-06-08,59.0,12.77
2012-06-09,59.0,11.39
