name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
tillamook oregon,2015-01-26,46.6,23.2,39.2,46.6,16,37.8,37.6,93.8,0,0,0,,0,0,,6.9,176.3,1016.2,41.2,4.3,70.4,6,3,,2015-01-26T07:42:59,2015-01-26T17:13:22,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-01-27,48,41.7,45,48,38.6,44.8,44,96.3,0.02,100,8.33,rain,0,0,,4.7,127,1020.4,73,2,33.9,2.9,2,,2015-01-27T07:41:58,2015-01-27T17:14:48,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHIO,KMMV,72688194273,72698694261"
tillamook oregon,2015-01-28,54.5,45,49.1,54.5,44.5,48.9,47.6,95,0.03,100,12.5,rain,0,0,,6.6,232.6,1026.6,61.2,4.9,56.3,5,4,,2015-01-28T07:40:56,2015-01-28T17:16:14,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KHIO,KMMV,72688194273,72698694261"
tillamook oregon,2015-01-29,56.5,40.5,46.9,56.5,38.6,46.3,42.4,85.6,0,0,0,,0,0,,7.6,182.5,1025.8,18.6,6.8,109.9,9.4,5,,2015-01-29T07:39:52,2015-01-29T17:17:41,0.37,Clear,Clear conditions throughout the day.,clear-day,"KHIO,KMMV,72688194273,72698694261"
tillamook oregon,2015-01-30,56.1,32.5,42.1,56.1,29.4,41.4,36.9,83.6,0,0,0,,0,0,,6.3,126.4,1025,8.3,8.3,114.6,9.9,5,,2015-01-30T07:38:46,2015-01-30T17:19:08,0.41,Clear,Clear conditions throughout the day.,clear-day,"KHIO,KMMV,72688194273,72698694261"
tillamook oregon,2015-01-31,50.7,30,38.7,50.7,30,38.1,34.8,86.7,0,0,0,,0,0,,5.8,148.4,1022.2,24.4,5.9,96,8.1,5,,2015-01-31T07:37:37,2015-01-31T17:20:35,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHIO,KMMV,72688194273,72698694261"
tillamook oregon,2015-02-01,46.1,21.3,41.5,46.1,16.7,40.7,39.5,92.7,0.21,100,33.33,rain,0,0,,3.9,187.2,1020.4,80.3,6.2,25.8,2.1,1,,2015-02-01T07:36:27,2015-02-01T17:22:02,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KHIO,KTMK,KMMV,72688194273,72698694261"
tillamook oregon,2015-02-02,57.8,42.7,48.6,57.8,41.6,48.1,45.1,88.5,0.44,100,29.17,rain,0,0,24.2,13.4,184.8,1016.8,62.9,6.4,87.3,7.5,4,,2015-02-02T07:35:15,2015-02-02T17:23:30,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHIO,KMMV,72688194273,72698694261"
tillamook oregon,2015-02-03,51.7,40.3,45.6,51.7,39.2,45.4,43.4,92.1,0.15,100,20.83,rain,0,0,,4.7,121.4,1018.6,58.9,8.9,61.2,5.3,2,,2015-02-03T07:34:02,2015-02-03T17:24:57,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHIO,KMMV,72688194273,72698694261"
tillamook oregon,2015-02-04,53.1,45.2,48.4,53.1,42,47.5,46.1,91.8,0.2,100,37.5,rain,0,0,,5.9,216.6,1013.8,73.2,7.5,35,3.1,2,,2015-02-04T07:32:46,2015-02-04T17:26:25,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHIO,KMMV,72688194273,72698694261"
tillamook oregon,2015-02-05,56.1,46.1,51.9,56.1,44.4,51.5,50.4,94.6,0.73,100,83.33,rain,0,0,33.3,17.9,116.4,1002.7,94.7,5.2,17,1.4,1,,2015-02-05T07:31:29,2015-02-05T17:27:53,0.52,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHIO,KMMV,72688194273,72698694261"
tillamook oregon,2015-02-06,56.4,51.7,54,56.4,51.7,54,50.8,89.3,1.07,100,70.83,rain,0,0,37.9,21.7,141.3,998.2,88.9,8,35.3,3.1,2,,2015-02-06T07:30:10,2015-02-06T17:29:21,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KHIO,KMMV,72688194273,72698694261"
tillamook oregon,2015-02-07,56.9,50.5,53.4,56.9,50.5,53.4,50.3,89.4,0.98,100,91.67,rain,0,0,33.1,20.5,153.9,1003.6,97.6,7.4,51.1,4.5,3,,2015-02-07T07:28:50,2015-02-07T17:30:48,0.55,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHIO,KMMV,72688194273,72698694261"
tillamook oregon,2015-02-08,55.1,46.1,50.8,55.1,44.7,50.4,47.4,88.6,0.23,100,33.33,rain,0,0,26.8,14,149.6,1008.7,79.7,9.5,35.7,2.9,3,,2015-02-08T07:27:28,2015-02-08T17:32:16,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHIO,KMMV,72688194273,72698694261"
tillamook oregon,2015-02-09,53.1,47.9,51.2,53.1,46.1,50.9,48.7,91.4,0.78,100,83.33,rain,0,0,41.8,26.3,195.3,1007.8,97.2,7,30.3,2.7,2,,2015-02-09T07:26:04,2015-02-09T17:33:44,0.63,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHIO,KMMV,72688194273,72698694261"
tillamook oregon,2015-02-10,53.6,46.6,50.2,53.6,44.1,49.3,46.9,88.7,0.01,100,4.17,rain,0,0,,11.8,176.7,1024.9,64.8,9.8,54.9,4.7,3,,2015-02-10T07:24:39,2015-02-10T17:35:11,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KHIO,KMMV,72688194273,72698694261"
tillamook oregon,2015-02-11,52.5,39,46.1,52.5,39,46,43.9,92.4,0,0,0,,0,0,,3.2,157.5,1022.9,36.1,6.6,81.6,7,4,,2015-02-11T07:23:12,2015-02-11T17:36:39,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHIO,KMMV,72688194273,72698694261"
tillamook oregon,2015-02-12,49.5,42.7,45.5,49.5,41,45.2,44.5,96.4,0,0,0,,0,0,,5.3,123.7,1024.7,57.1,1.7,80.6,7,4,,2015-02-12T07:21:44,2015-02-12T17:38:06,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHIO,KMMV,72688194273,72698694261"
tillamook oregon,2015-02-13,62.5,37.6,48.1,62.5,37.6,47.9,43,84.1,0.03,100,4.17,rain,0,0,,6.9,134,1023.1,32.9,5.9,92,8,4,,2015-02-13T07:20:15,2015-02-13T17:39:34,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-02-14,57.2,41.1,50.5,57.2,41.1,50.1,47.1,88.4,0,0,0,,0,0,,18.2,193.9,1027.5,54.8,8,130,11.2,5,,2015-02-14T07:18:44,2015-02-14T17:41:01,0.87,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-02-15,66.2,33.8,49.4,66.2,31,48.9,38.2,70.9,0,0,0,,0,0,24.2,17.2,124.3,1025.6,20.7,7.7,131,11.1,5,,2015-02-15T07:17:12,2015-02-15T17:42:28,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-02-16,64.4,44.6,56.9,64.4,40.2,56.8,29.5,35.8,0,0,0,,0,0,27.5,18.3,81,1021.7,0,9.9,137.4,11.9,5,,2015-02-16T07:15:39,2015-02-16T17:43:54,0.96,Clear,Clear conditions throughout the day.,clear-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-02-17,66.2,35.7,48.1,66.2,31.6,46.7,38.7,73.3,0,0,0,,0,0,,10.3,179.7,1019.8,16.5,9.9,130.8,11.2,5,,2015-02-17T07:14:04,2015-02-17T17:45:21,0.99,Clear,Clear conditions throughout the day.,clear-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-02-18,55.4,46.3,51.1,55.4,46.3,51,45.8,82.5,0,0,0,,0,0,,9.1,218,1024.2,98.8,9.9,46.2,3.9,2,,2015-02-18T07:12:29,2015-02-18T17:46:47,1,Overcast,Cloudy skies throughout the day.,cloudy,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-02-19,53.7,48.2,51.3,53.7,47.7,51,48.2,89.5,0.07,100,16.67,rain,0,0,,8,182.4,1025.5,98.9,8,81.3,7,3,,2015-02-19T07:10:52,2015-02-19T17:48:13,0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-02-20,53.6,44.5,49,53.6,44.5,48.8,44.9,86.4,0,0,0,,0,0,,12.6,215,1025.7,78.5,8.7,65.3,5.6,3,,2015-02-20T07:09:14,2015-02-20T17:49:38,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-02-21,59,35.6,46.9,59,35.6,46.8,35.9,70.7,0,0,0,,0,0,24.2,13.9,163.1,1024.8,32.4,7.4,159.5,14,6,,2015-02-21T07:07:35,2015-02-21T17:51:04,0.05,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-02-22,59,41,50.1,59,38.8,47.3,17.2,28.3,0,0,0,,0,0,26.4,17.2,50.8,1027.9,0,9.9,169.3,14.6,6,,2015-02-22T07:05:55,2015-02-22T17:52:29,0.09,Clear,Clear conditions throughout the day.,clear-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-02-23,60.8,35.6,47.6,60.8,35.6,45.1,22.4,41,0,0,0,,0,0,27.7,19.6,132.3,1028.6,0,9.9,172.4,14.9,6,,2015-02-23T07:04:14,2015-02-23T17:53:54,0.13,Clear,Clear conditions throughout the day.,clear-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-02-24,55.4,32,42.7,55.4,27.4,41.9,36.8,80.8,0,0,0,,0,0,16.1,12.7,158,1029.4,16.5,9.9,148.9,12.7,6,,2015-02-24T07:02:32,2015-02-24T17:55:19,0.19,Clear,Clear conditions throughout the day.,clear-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-02-25,51.8,44.6,48.3,51.8,44.6,48.2,46.3,92.9,0.08,100,25,rain,0,0,,6.9,203,1029.7,99.9,7.2,45.9,4,2,,2015-02-25T07:00:50,2015-02-25T17:56:43,0.24,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-02-26,53.6,48.2,50.8,53.6,47.3,50.6,49,93.8,0.09,100,29.17,rain,0,0,,6.9,186.7,1019.9,97.9,5.9,38.6,3.4,1,,2015-02-26T06:59:06,2015-02-26T17:58:07,0.29,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-02-27,53.6,44.6,48.5,53.6,42.9,47.4,45.2,88.6,0.39,100,37.5,rain,0,0,,8,152.5,1007.5,51.6,7.5,38.7,3.3,1,,2015-02-27T06:57:21,2015-02-27T17:59:31,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-02-28,59,35.6,46.9,59,33,46.1,33.8,65.7,0.01,100,4.17,rain,0,0,24.2,12.7,144.4,1018.2,4.3,9.9,180,15.5,6,,2015-02-28T06:55:36,2015-02-28T18:00:54,0.38,Rain,Clear conditions throughout the day with morning rain.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-01,55.4,30.2,42.3,55.4,26.7,41.1,35.7,80.3,0.04,100,8.33,rain,0,0,,10.2,192.7,1020.6,26.5,9.7,142.5,12.4,6,,2015-03-01T06:53:50,2015-03-01T18:02:17,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-02,51.8,37.4,46.2,51.8,37.4,45.2,41.5,84.2,0.13,100,20.83,rain,0,0,20.8,14.9,221.8,1015.6,64.5,8.9,169.8,14.6,6,,2015-03-02T06:52:03,2015-03-02T18:03:40,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-03,55.4,32,40.9,55.4,28.8,40.4,34.4,81,0,0,0,,0,0,,13.8,221.9,1022.5,20.6,8,161.5,13.9,6,,2015-03-03T06:50:16,2015-03-03T18:05:03,0.48,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-04,55.4,30.2,41,55.4,26.8,40.2,33.2,77.2,0,0,0,,0,0,,9.1,163,1024.5,0,9.9,185.3,15.9,7,,2015-03-04T06:48:28,2015-03-04T18:06:25,0.49,Clear,Clear conditions throughout the day.,clear-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-05,60.7,32,43.3,60.7,27.4,42.2,35.3,77.1,0,0,0,,0,0,,8,129.4,1027.6,2.1,9.5,127.8,11,5,,2015-03-05T06:46:39,2015-03-05T18:07:47,0.5,Clear,Clear conditions throughout the day.,clear-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-06,60.8,33.8,46.8,60.8,29.5,46.2,41.1,82.6,0,0,0,,0,0,,8,178.1,1028.3,18.6,9.8,153.6,13.4,6,,2015-03-06T06:44:50,2015-03-06T18:09:09,0.5,Clear,Clear conditions throughout the day.,clear-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-07,57.3,37.4,47.8,57.3,35.9,47.2,43.5,85.9,0,0,0,,0,0,,6.9,151.4,1024.6,30.5,9.8,193.3,16.6,7,,2015-03-07T06:43:00,2015-03-07T18:10:30,0.52,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-08,66.2,33.8,47.4,66.2,29.5,46.6,40.3,79.8,0,0,0,,0,0,,8,142.5,1021.1,18.9,9.3,180.2,14.9,6,,2015-03-08T07:41:10,2015-03-08T19:11:52,0.53,Clear,Clear conditions throughout the day.,clear-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-09,51.9,41,46.6,51.9,39.2,46.5,44.2,91.7,0,0,0,,0,0,,8,145.4,1019.1,97,7.1,170.4,14.6,6,,2015-03-09T07:39:19,2015-03-09T19:13:13,0.56,Overcast,Cloudy skies throughout the day.,cloudy,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-10,62.5,35.6,49.4,62.5,30.7,48.8,45.1,86.6,0,0,0,,0,0,24.2,14.9,167.9,1012,54.8,8,59,5.1,2,,2015-03-10T07:37:27,2015-03-10T19:14:33,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-11,57.2,50,53.5,57.2,50,53.5,49,85.1,0.15,100,37.5,rain,0,0,21.9,17.1,181,1015.8,99.5,8.7,33.1,2.7,2,,2015-03-11T07:35:36,2015-03-11T19:15:54,0.64,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
tillamook oregon,2015-03-12,66.2,48.2,55,66.2,46.3,54.9,50.7,86.3,0,0,0,,0,0,,8,192.8,1027.5,52.7,9.3,185.8,16.2,6,,2015-03-12T07:33:44,2015-03-12T19:17:14,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHIO,KTMK,KMMV,72020200118,72688194273,72698694261"
